2000,
Drama,10584294739
Musical,3070123492
Romance,4545597047
Music,635316787
Thriller,6086624748
Horror,1838341309
Biography,1584812744
Sport,522060728
History,1041543418
War,799072719
Western,225276463
Documentary,74402331
2017,
Action,19013870937
Sci-Fi,11744585403
Adventure,19375357556
Fantasy,14038250858
Family,7242768210
Musical,2573486314
Romance,3222792686
Crime,5719734617
Thriller,10514111963
Animation,4773440352
Comedy,11736513904
Drama,11201994419
War,2994665099
Mystery,4009324022
Horror,2945897774
History,1406877694
Biography,1089188778
Sport,818997237
Music,675747317
Western,192880916
Documentary,26289378
2018,
Action,19416158305
Sci-Fi,15226999395
Adventure,19731802907
Animation,4634194121
Comedy,12607584809
Family,6442683000
Fantasy,7575009452
Biography,2178694150
Drama,10501273418
Music,1747883662
Thriller,7129126094
War,867705111
Mystery,3038498209
Sport,969180030
Horror,3154940350
Romance,3354873767
Musical,1815608211
Crime,2838029265
History,809956323
Documentary,124741363
2019,
Action,17855606550
Sci-Fi,10619476125
Adventure,21928432307
Drama,17080644676
Animation,7774310370
Family,10735458015
Fantasy,14052778815
Musical,4702091541
Comedy,13146526544
Crime,4071710083
Thriller,8700215439
Romance,3827421590
Horror,2739955345
History,1547096162
Mystery,2661488532
War,786721883
Sport,594667604
Biography,1118176730
Music,423930634
2020,
Action,4155510154
Sci-Fi,1311030962
Drama,3578225309
History,621696910
War,685562554
Adventure,2731036947
Animation,1563489040
Fantasy,2708391716
Thriller,2409084675
Comedy,3136886596
Crime,1118577604
Family,2209673575
Horror,567200680
Mystery,604326724
Music,200086240
Musical,176674289
Romance,642335686
Biography,164451428
Sport,76458806
Western,23504011
Documentary,18271692
Short,4853143
2021,
Action,11309252452
Sci-Fi,6694401033
Adventure,9200144138
Fantasy,6588523710
Drama,6574882248
History,1147253004
War,953300437
Comedy,5595512421
Thriller,5091522250
Crime,2822740578
Mystery,2231237303
Animation,2604623770
Family,2156644331
Musical,870180721
Horror,1343325424
Sport,268058122
Biography,397420676
Romance,1027816538
Western,146219592
Music,197997433
Short,7658021
2022,
Action,13949305645
Sci-Fi,9517072281
Adventure,11724715386
Fantasy,7154720774
Drama,7302155813
Thriller,4798397919
Animation,3069672455
Comedy,6844888244
Crime,3019145732
Family,3440593280
Mystery,2405699087
Romance,1853759064
History,1113950532
War,783027404
Biography,509360232
Music,550997821
Horror,1565091114
Sport,151552862
Musical,213697123
Documentary,151693395
Western,9464198
2023,
Action,9621081318
Sci-Fi,5414681027
Adventure,13701062440
Comedy,8854470809
Fantasy,8104333074
Animation,4464127070
Family,4892650768
Biography,1810074255
Drama,5260326160
History,1898406630
Crime,2841072591
Mystery,2596941813
Thriller,5861524233
Musical,1888528294
Romance,2195513599
Horror,2558340648
War,773278833
Sport,725949893
Documentary,317476813
Music,368003190
Western,157026901
2024,
Action,3711887797
Sci-Fi,2277260338
Adventure,4392694260
Animation,2086011574
Comedy,3124277276
Drama,3224064693
Family,1876840118
Fantasy,2705969785
Thriller,2442175601
Crime,685315256
Biography,271560552
Music,277963944
Musical,108111231
Horror,495938603
Mystery,361216091
Romance,358298163
Sport,266973683
War,40665801
History,94638858
Western,19077748
Documentary,37135298
